test_size,mse,rmse,mae,r2
0.2,0.0142782345157663,0.11949156671399995,0.07384857083212178,0.6776179653704884
0.25,0.016526099209191087,0.12855387667896712,0.0828693856500823,0.6091163887657314
0.3,0.015488542832573234,0.12445297438218676,0.07911286892429974,0.6173650172221141
0.35,0.015218195827486819,0.12336205181289268,0.07885952654817129,0.58759943186308
0.2,0.0142782345157663,0.11949156671399995,0.07384857083212178,0.6776179653704884
0.25,0.016526099209191087,0.12855387667896712,0.0828693856500823,0.6091163887657314
0.3,0.015488542832573234,0.12445297438218676,0.07911286892429974,0.6173650172221141
0.35,0.015218195827486819,0.12336205181289268,0.07885952654817129,0.58759943186308
0.2,0.0142782345157663,0.11949156671399995,0.07384857083212178,0.6776179653704884
0.25,0.016526099209191087,0.12855387667896712,0.0828693856500823,0.6091163887657314
0.3,0.015488542832573234,0.12445297438218676,0.07911286892429974,0.6173650172221141
0.35,0.015218195827486819,0.12336205181289268,0.07885952654817129,0.58759943186308
