,Outliers Count,Inliers Count,Outliers Mean,Outliers Std,Inliers Mean,Inliers Std,Outliers Min,Outliers Max,Inliers Min,Inliers Max
iqr_outlier,251.0,1995.0,47.98934768165737,73.23890383665106,2.3705126116506268,2.9231973359299395,-7.415296604,593.072,-5.226795643,12.1705
zscore_outlier,32.0,2214.0,197.86608315625,121.72835780427782,4.716704727795393,9.163927883372057,95.2637455,593.072,-7.415296604,87.66
if_outlier,113.0,2133.0,83.66253543439824,98.25598976149651,3.4320827117918427,4.8401649386565,-7.415296604,593.072,-3.196648526,26.015
dbscan_outlier,37.0,2209.0,182.41669829972975,119.71689558296936,4.538289312471255,8.368250266638166,77.61744989,593.072,-7.415296604,72.8749
ocsvm_outlier,112.0,2134.0,76.83770085217857,103.26000456708233,3.827870868273196,5.777928401221187,-7.415296604,593.072,-2.08059381,40.412
lof_outlier,113.0,2133.0,46.721767592530966,107.05461936753427,5.3890947915532115,12.905086046122916,-7.415296604,593.072,-2.228376001,151.2232746
gaussianpdf_outlier,87.0,2159.0,103.9901196505747,103.34406452928312,3.5791378039550716,5.2874264918365315,31.523,593.072,-7.415296604,30.51366518
bgm_outlier,113.0,2133.0,74.07668028469027,102.29952238421912,3.9399128252081574,7.564546912922734,14.6333,593.072,-7.415296604,66.06556717
nb_outlier,42.0,2204.0,168.92811327404763,118.1711859260129,4.391795903279946,7.790006326555293,66.06556717,593.072,-7.415296604,63.5886
