Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:22:14,2024-06-10 22:22:54,40.51091170310974,2.1929951316739236,13.139076802644267,3.624786449246944,0.5876087642314094
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7}",2024-06-10 22:22:56,2024-06-10 22:23:36,39.980796813964844,2.316923185883421,14.584923182895588,3.819021233627222,0.5735477955173098
0.3,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7}",2024-06-10 22:23:38,2024-06-10 22:24:17,38.82911205291748,2.3235895850280945,13.882453489079033,3.7259164629764627,0.6043194463998114
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:24:19,2024-06-10 22:25:01,42.008055448532104,2.4942053347670674,15.446449536811038,3.9301971371435096,0.5702234419142581
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:22:14,2024-06-10 22:22:54,40.51091170310974,2.2483357633048677,12.846760047244924,3.584237721921486,0.6158470747692147
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7}",2024-06-10 22:22:56,2024-06-10 22:23:36,39.980796813964844,2.263043868608496,12.949126862171578,3.598489525088489,0.6127860297075794
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7}",2024-06-10 22:23:38,2024-06-10 22:24:17,38.82911205291748,2.266361833624759,13.087789491649302,3.6177050034033043,0.608639641471311
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:24:19,2024-06-10 22:25:01,42.008055448532104,2.2630694565868303,12.84828106007877,3.584449896438611,0.6158015923653022
