Test Size,Method,MAE,MSE,RMSE,R2
0.2,NoCV NoTuning,2.32510687863954,14.20060460992472,3.7683689588367963,0.5542909923040082
0.25,NoCV NoTuning,2.407724734198474,15.926982608230665,3.990862389037069,0.5343069854489986
0.35,NoCV NoTuning,2.4540687615296854,15.04038168004979,3.8781930947349426,0.5815217305864997
0.3,NoCV NoTuning,2.4711068398555223,15.471139510145123,3.9333369433783734,0.5590383896466354
0.2,XGB.CV NoTuning,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511
0.25,XGB.CV NoTuning,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511
0.3,XGB.CV NoTuning,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511
0.35,XGB.CV NoTuning,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511
