Test Size,Method,MAE,MSE,RMSE,R2
0.2,NoCV NoTuning,2.222683286955665,11.382419846171919,3.373784202667965,0.4631908873242645
0.25,NoCV NoTuning,2.201395880614344,11.093005505834297,3.330616385270795,0.42712620240720556
0.3,NoCV NoTuning,2.3564043638591943,13.59862107638669,3.6876308215962577,0.34678075780667617
0.35,NoCV NoTuning,2.4065739078521515,13.597177957743174,3.6874351462423274,0.3221870598296429
0.2,XGB.CV NoTuning,2.26885626009254,12.776145633568433,3.574373460282016,0.45769608917482807
0.25,XGB.CV NoTuning,2.26885626009254,12.776145633568433,3.574373460282016,0.45769608917482807
0.3,XGB.CV NoTuning,2.26885626009254,12.776145633568433,3.574373460282016,0.45769608917482807
0.35,XGB.CV NoTuning,2.26885626009254,12.776145633568433,3.574373460282016,0.45769608917482807
