Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 23:52:27,2024-06-10 23:53:15,47.913392066955566,2.158424697536709,10.53853974705399,3.246311714400512,0.5029893250320916
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 23:52:27,2024-06-10 23:53:15,47.913392066955566,2.266055278009871,12.854361124755048,3.585297912971117,0.4543761077051298
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7}",2024-06-10 23:53:17,2024-06-10 23:54:13,56.68132734298706,2.100096670887373,10.623500641282815,3.2593712033585276,0.45137274538443894
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7}",2024-06-10 23:53:17,2024-06-10 23:54:13,56.68132734298706,2.2813054360612073,12.83425988987362,3.5824935296345783,0.4552293367306328
0.3,No Cross Validation (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-10 23:54:15,2024-06-10 23:55:16,60.19973373413086,2.2527623724969423,12.320459398127486,3.5100511959410916,0.4081781449522611
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-10 23:54:15,2024-06-10 23:55:16,60.19973373413086,2.2533564039126257,12.760948007160556,3.5722469129611625,0.4583411767053426
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7}",2024-06-10 23:55:19,2024-06-10 23:56:22,63.094117403030396,2.360367097601109,12.865564408695917,3.58685996502455,0.3586576519105381
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7}",2024-06-10 23:55:19,2024-06-10 23:56:22,63.094117403030396,2.2878008999192674,12.880589532194643,3.588953821407381,0.4532628010524695
