Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2,Group,MethodGroup,Normalized_R2,Normalized_MAE,Normalized_MSE,Normalized_RMSE,Score
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 23:52:27,2024-06-10 23:53:15,47.913392066955566,2.158424697536709,10.53853974705399,3.246311714400512,0.5029893250320916,CV_GridSearch_if_lof,gridsearch,0.6293300461452672,0.07290161142155749,0.232925236453547,0.12417195549214499,0.332604744724498
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:22:14,2024-06-10 22:22:54,40.51091170310974,2.192995131673924,13.139076802644269,3.624786449246944,0.5876087642314094,CV_GridSearch_IDO,gridsearch,0.7352041729424823,0.05805272935601857,0.04363844768678804,0.02206260307051766,0.3224314378282079
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 22:43:27,2024-06-10 22:44:34,67.73710060119629,2.228306062240427,13.25587878796865,3.6408623687209936,0.7906250996212911,CV_GridSearch_if_by_lof,gridsearch,0.9892140959383744,0.042885785211629,0.03513671429440779,0.01772545298903727,0.41735126209662377
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7}",2024-06-10 23:53:17,2024-06-10 23:54:13,56.68132734298706,2.100096670887373,10.623500641282815,3.259371203358528,0.4513727453844389,CV_GridSearch_if_lof,gridsearch,0.5647484281368819,0.09795498464197783,0.22674113890156022,0.12064861340961086,0.3126989557686192
0.2,XGB.CV NoTuning,,,,,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511,NoTuning_IDO,notuning,0.7790162325282535,0.03480126179265963,0.08141482495438834,0.04157150759923056,0.3424869872999
0.2,XGB.CV NoTuning,,,,,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,NoTuning_id,notuning,0.5912974718996664,0.04427178043237556,0.10108076071802341,0.05188648396830853,0.2752053234300148
0.2,XGB.CV NoTuning,,,,,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,NoTuning_if_by,notuning,0.5912974718996664,0.04427178043237556,0.10108076071802341,0.05188648396830853,0.2752053234300148
0.2,NoCV NoTuning,,,,,2.3281506301033583,13.738608344160172,3.706562874707533,0.7884970621883273,NoTuning_if_by_lof,notuning,0.9865515386449357,0.0,0.0,0.0,0.39462061545797433
0.25,NoCV NoTuning,,,,,2.201395880614344,11.093005505834295,3.330616385270795,0.4271262024072055,NoTuning_if_lof,notuning,0.5344116451251312,0.05444439369603293,0.19256701785595587,0.10142725272572162,0.2787541050026257
0.2,NoCV NoTuning,,,,,2.1476272931592915,12.516827726333227,3.5379129054194123,0.5110522043962868,NoTuning_id,notuning,0.6394181573432712,0.07753937164110924,0.08893044966568853,0.0455003665090743,0.30136520101368636
0.2,NoCV NoTuning,,,,,2.1476272931592915,12.516827726333227,3.5379129054194123,0.5110522043962868,NoTuning_if_by,notuning,0.6394181573432712,0.07753937164110924,0.08893044966568853,0.0455003665090743,0.30136520101368636
0.2,NoCV NoTuning,,,,,2.222683286955665,11.38241984617192,3.373784202667965,0.4631908873242645,NoTuning_if_lof,notuning,0.579535047737342,0.04530091042391493,0.17150124954175505,0.08978093271001797,0.2886826354014641
