Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Random Search),"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.5}",2024-06-11 00:07:22,2024-06-11 00:07:41,18.545787572860718,2.132652581811282,11.863641870273803,3.4443637830917053,0.5365677576516754
0.2,xgb.cv (Random Search),"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.5}",2024-06-11 00:07:22,2024-06-11 00:07:41,18.545787572860718,2.2209886485493966,12.547839076547511,3.5422929123023565,0.4641388489205407
0.25,No Cross Validation (Random Search),"{'subsample': 0.6, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-11 00:07:43,2024-06-11 00:08:01,17.569400310516357,2.147514896175607,12.950403545077231,3.59866691221586,0.4828723795930365
0.25,xgb.cv (Random Search),"{'subsample': 0.6, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-11 00:07:43,2024-06-11 00:08:01,17.569400310516357,2.2201310410706956,12.351779875967038,3.514509905515567,0.47251164588277894
0.3,No Cross Validation (Random Search),"{'subsample': 0.7, 'min_child_weight': 3, 'max_depth': 11, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",2024-06-11 00:08:03,2024-06-11 00:08:22,19.151899337768555,2.196785355770619,13.530392980534634,3.6783682497181593,0.4606089783954922
0.3,xgb.cv (Random Search),"{'subsample': 0.7, 'min_child_weight': 3, 'max_depth': 11, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",2024-06-11 00:08:03,2024-06-11 00:08:22,19.151899337768555,2.1917908898603944,12.317429010541787,3.5096194965468532,0.473978615149364
0.35,No Cross Validation (Random Search),"{'subsample': 0.7, 'min_child_weight': 4, 'max_depth': 11, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",2024-06-11 00:08:25,2024-06-11 00:08:44,18.972644329071045,2.354727010146045,13.928233453280976,3.7320548566816347,0.4485138069979865
0.35,xgb.cv (Random Search),"{'subsample': 0.7, 'min_child_weight': 4, 'max_depth': 11, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",2024-06-11 00:08:25,2024-06-11 00:08:44,18.972644329071045,2.224759944728968,12.350491077812926,3.5143265468383733,0.47256668459168794
