Test Size,Method,MAE,MSE,RMSE,R2,Group,MethodGroup
0.2,XGB.CV NoTuning,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511,NoTuning_IDO,No Tuning
0.2,XGB.CV NoTuning,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,NoTuning_id,No Tuning
0.2,XGB.CV NoTuning,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,NoTuning_if_by,No Tuning
0.2,NoCV NoTuning,2.3281506301033583,13.738608344160172,3.706562874707533,0.7884970621883273,NoTuning_if_by_lof,No Tuning
0.25,NoCV NoTuning,2.201395880614344,11.093005505834295,3.330616385270795,0.4271262024072055,NoTuning_if_lof,No Tuning
0.2,NoCV NoTuning,2.1476272931592915,12.516827726333227,3.5379129054194123,0.5110522043962868,NoTuning_id,No Tuning
0.2,NoCV NoTuning,2.1476272931592915,12.516827726333227,3.5379129054194123,0.5110522043962868,NoTuning_if_by,No Tuning
0.2,NoCV NoTuning,2.222683286955665,11.38241984617192,3.373784202667965,0.4631908873242645,NoTuning_if_lof,No Tuning
