Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-10 22:49:52,2024-06-10 22:50:09,17.560330390930176,2.262814267113332,13.040409316839051,3.611150691516355,0.799245686922101
0.2,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-10 22:49:52,2024-06-10 22:50:09,17.560330390930176,2.3805693431623887,15.243817482526076,3.9043331674597233,0.7259598009513442
0.25,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-10 22:50:11,2024-06-10 22:50:27,16.194668531417847,2.2596973080388505,12.986074915357385,3.603619696271706,0.7948866170848519
0.25,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-10 22:50:11,2024-06-10 22:50:27,16.194668531417847,2.3805693431623887,15.243817482526076,3.9043331674597233,0.7259598009513442
0.3,No Cross Validation (Random Search),"{'subsample': 0.7, 'min_child_weight': 4, 'max_depth': 11, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",2024-06-10 22:50:30,2024-06-10 22:50:47,16.90964150428772,2.435294445120765,14.972423318189772,3.8694215741102407,0.7751917079284674
0.3,xgb.cv (Random Search),"{'subsample': 0.7, 'min_child_weight': 4, 'max_depth': 11, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",2024-06-10 22:50:30,2024-06-10 22:50:47,16.90964150428772,2.3401651325843598,14.618416066963865,3.823403727958096,0.7372027280332538
0.35,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-10 22:50:50,2024-06-10 22:51:08,18.16038751602173,2.4739374876726177,15.99159125308108,3.9989487684991762,0.7569666847915808
0.35,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-10 22:50:50,2024-06-10 22:51:08,18.16038751602173,2.3805693431623887,15.243817482526076,3.9043331674597233,0.7259598009513442
