Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-11 00:02:44,2024-06-11 00:03:52,67.54999327659607,2.1415278782017055,11.667300323830604,3.415743011971276,0.5442374938194792
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-11 00:03:54,2024-06-11 00:05:00,65.61771488189697,2.187542619511255,13.04566105430244,3.611877773998234,0.4790686147991392
0.3,No Cross Validation (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9}",2024-06-11 00:05:04,2024-06-11 00:06:19,75.29531121253967,2.2308983863326484,13.348422929095236,3.6535493604295586,0.4678632401222971
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-11 00:06:21,2024-06-11 00:07:21,59.463356494903564,2.266566329016676,13.381558256143718,3.658081226017776,0.4701593246646101
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-11 00:02:44,2024-06-11 00:03:52,67.54999327659607,2.2434344617058235,12.518766998652831,3.538186964909123,0.46538038517470204
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-11 00:03:54,2024-06-11 00:05:00,65.61771488189697,2.2302089279075448,12.459674331099968,3.529826388237808,0.46790396430749603
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9}",2024-06-11 00:05:04,2024-06-11 00:06:19,75.29531121253967,2.2415492062680102,12.48198647139091,3.5329854898358852,0.4669511142504932
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-11 00:06:21,2024-06-11 00:07:21,59.463356494903564,2.2187032293151083,12.410783365096766,3.522894174552617,0.4699918751549367
