Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7}",2024-06-10 22:42:07,2024-06-10 22:43:22,75.05626630783081,2.2991842026515106,13.222708615239267,3.636304252292328,0.7964392282032278
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 22:43:27,2024-06-10 22:44:34,67.73710060119629,2.228306062240427,13.25587878796865,3.6408623687209944,0.7906250996212911
0.3,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-10 22:44:38,2024-06-10 22:45:45,66.87213134765625,2.376764126947632,14.420453324312533,3.7974271980266496,0.7834794399115408
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-10 22:45:50,2024-06-10 22:48:01,130.86720514297485,2.4068658014785265,15.473595114095199,3.933649083751015,0.7648389669760473
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7}",2024-06-10 22:42:07,2024-06-10 22:43:22,75.05626630783081,2.3596240633810828,14.760811593970466,3.8419801657440225,0.7346428641009246
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 22:43:27,2024-06-10 22:44:34,67.73710060119629,2.3602973964908713,15.195240890979928,3.8981073472879024,0.7268330690045515
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-10 22:44:38,2024-06-10 22:45:45,66.87213134765625,2.3650652826527407,14.928445417291025,3.863734646335204,0.7316292878518839
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-10 22:45:50,2024-06-10 22:48:01,130.86720514297485,2.37478135272567,15.288851152657207,3.910096054147162,0.7251502244826694
