Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2,Group
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:24:19,2024-06-10 22:25:01,42.0080554485321,2.4942053347670674,15.446449536811038,3.9301971371435096,0.5702234419142581,CV_GridSearch_IDO
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:22:14,2024-06-10 22:22:54,40.51091170310974,2.248335763304868,12.846760047244924,3.584237721921486,0.6158470747692147,CV_GridSearch_IDO
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7}",2024-06-10 22:22:56,2024-06-10 22:23:36,39.98079681396485,2.263043868608496,12.949126862171578,3.598489525088489,0.6127860297075794,CV_GridSearch_IDO
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7}",2024-06-10 22:23:38,2024-06-10 22:24:17,38.82911205291748,2.266361833624759,13.087789491649302,3.617705003403304,0.608639641471311,CV_GridSearch_IDO
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-10 22:24:19,2024-06-10 22:25:01,42.0080554485321,2.2630694565868303,12.84828106007877,3.584449896438611,0.6158015923653022,CV_GridSearch_IDO
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7}",2024-06-10 22:42:07,2024-06-10 22:43:22,75.05626630783081,2.2991842026515106,13.222708615239268,3.636304252292328,0.7964392282032278,CV_GridSearch_if_by_lof
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 22:43:27,2024-06-10 22:44:34,67.73710060119629,2.228306062240427,13.25587878796865,3.6408623687209936,0.7906250996212911,CV_GridSearch_if_by_lof
0.3,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-10 22:44:38,2024-06-10 22:45:45,66.87213134765625,2.376764126947632,14.420453324312533,3.7974271980266496,0.7834794399115408,CV_GridSearch_if_by_lof
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-10 22:45:50,2024-06-10 22:48:01,130.86720514297485,2.4068658014785265,15.4735951140952,3.933649083751015,0.7648389669760473,CV_GridSearch_if_by_lof
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7}",2024-06-10 22:42:07,2024-06-10 22:43:22,75.05626630783081,2.3596240633810828,14.760811593970466,3.8419801657440233,0.7346428641009246,CV_GridSearch_if_by_lof
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 22:43:27,2024-06-10 22:44:34,67.73710060119629,2.360297396490872,15.195240890979928,3.8981073472879024,0.7268330690045515,CV_GridSearch_if_by_lof
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-10 22:44:38,2024-06-10 22:45:45,66.87213134765625,2.3650652826527407,14.928445417291025,3.863734646335204,0.7316292878518839,CV_GridSearch_if_by_lof
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-10 22:45:50,2024-06-10 22:48:01,130.86720514297485,2.37478135272567,15.288851152657209,3.910096054147162,0.7251502244826694,CV_GridSearch_if_by_lof
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-10 23:44:37,2024-06-10 23:45:32,55.23792910575867,2.141527878201705,11.667300323830604,3.415743011971276,0.5442374938194792,CV_GridSearch_if_by
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",2024-06-10 23:44:37,2024-06-10 23:45:32,55.23792910575867,2.2434344617058235,12.518766998652833,3.538186964909123,0.465380385174702,CV_GridSearch_if_by
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 23:45:34,2024-06-10 23:46:31,57.9122748374939,2.187542619511255,13.04566105430244,3.611877773998234,0.4790686147991392,CV_GridSearch_if_by
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 23:45:34,2024-06-10 23:46:31,57.9122748374939,2.2302089279075448,12.459674331099968,3.529826388237808,0.467903964307496,CV_GridSearch_if_by
0.3,No Cross Validation (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9}",2024-06-10 23:46:34,2024-06-10 23:47:25,50.87484812736511,2.2308983863326484,13.348422929095236,3.653549360429559,0.4678632401222971,CV_GridSearch_if_by
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9}",2024-06-10 23:46:34,2024-06-10 23:47:25,50.87484812736511,2.2415492062680102,12.48198647139091,3.532985489835885,0.4669511142504932,CV_GridSearch_if_by
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 23:47:28,2024-06-10 23:48:35,67.51586246490479,2.266566329016676,13.381558256143718,3.658081226017776,0.4701593246646101,CV_GridSearch_if_by
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-10 23:47:28,2024-06-10 23:48:35,67.51586246490479,2.2187032293151083,12.410783365096766,3.522894174552617,0.4699918751549367,CV_GridSearch_if_by
