N2O,IF_Outlier,LOF_Outlier,OCSVM_Outlier,Elliptic_Outlier,HBOS_Outlier,DBSCAN_Outlier,Mahalanobis_Distance,Mahalanobis_Outlier
3.896741682,1,1,1,1,0,0,0.12538038746696328,0
2.190217677,1,1,1,1,0,0,0.1852831046894853,0
3.542594407,1,1,1,1,0,0,0.1378117297787591,0
3.342869686,1,1,1,1,0,0,0.144822503403599,0
2.947778441,1,1,1,1,0,0,0.15869106842640932,0
2.146451291,1,1,1,1,0,0,0.1868194003622847,0
1.60370384,1,1,1,1,0,0,0.20587102048906844,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
1.277621517,1,1,1,1,0,0,0.21731722173130186,0
1.941425653,1,1,1,1,0,0,0.19401624774356788,0
4.400840943,1,1,1,1,0,0,0.1076854031624411,0
3.101421441,1,1,1,1,0,0,0.1532978637863023,0
2.247645854,1,1,1,1,0,0,0.18326725033445918,0
2.470146627,1,1,1,1,0,0,0.17545698757357198,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
2.452842456,1,1,1,1,0,0,0.17606440174363117,0
2.110173535,1,1,1,1,0,0,0.18809282877745406,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
-0.976532918,1,1,1,1,0,0,0.2964429623010625,0
-1.152264849,1,1,-1,1,0,1,0.30261153663041146,0
3.332993782,1,1,1,1,0,0,0.14516916918907605,0
0.665489242,1,1,1,1,0,0,0.23880440061930355,0
0.422398471,1,-1,1,1,0,2,0.2473374172495723,0
0.786886848,1,1,1,1,0,0,0.23454307968716165,0
-0.236694718,1,1,1,1,0,0,0.27047302671552725,0
0.803407701,1,1,1,1,0,0,0.23396316168856668,0
0.494750964,1,1,1,1,0,0,0.24479768682924138,0
0.051470741,1,-1,1,1,0,2,0.2603577901567685,0
-0.573086367,1,1,1,1,0,0,0.28228110780142135,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
-1.661657193,1,1,-1,1,0,1,0.32049231970087855,0
-1.316573969,1,1,-1,1,0,1,0.30837914536231525,0
2.576100578,1,1,1,1,0,0,0.17173777263914042,0
0.769862597,1,1,1,1,0,0,0.23514066805426945,0
0.92208048,1,1,1,1,0,0,0.2297974881313126,0
0.603632682,1,1,1,1,0,0,0.24097570088298662,0
3.923316606,1,1,1,1,0,0,0.12444754963232527,0
2.54735377,1,1,1,1,0,0,0.17274684834251686,0
1.993078376,1,1,1,1,0,0,0.19220312442940612,0
2.242679352,1,1,1,1,0,0,0.1834415853945107,0
2.31102732,1,1,1,1,0,0,0.18104242254192723,0
1.607339878,1,1,1,1,0,0,0.20574338761927807,0
1.196587551,1,1,1,1,0,0,0.22016169080205336,0
1.858059078,1,1,1,1,0,0,0.196942596481355,0
1.500578176,1,1,1,1,0,0,0.20949095637680115,0
1.532710969,1,1,1,1,0,0,0.2083630252096982,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
-0.860186291,1,1,1,1,0,0,0.29235894175605104,0
-0.611512687,1,1,1,1,0,0,0.28362995550243114,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
-0.365079731,1,1,1,1,0,0,0.2749796208840334,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
-0.420653097,1,1,1,1,0,0,0.2769303673246624,0
-0.646941413,1,1,1,1,0,0,0.28487358111151373,0
-0.383708989,1,1,1,1,0,0,0.27563354849991795,0
-0.699160861,1,1,1,1,0,0,0.2867065977101054,0
5.555901661,1,1,1,1,0,0,0.06714025093342382,0
3.812068955,1,1,1,1,0,0,0.1283525849907484,0
3.837211904,1,1,1,1,0,0,0.12747001260402868,0
3.768554758,1,1,1,1,0,0,0.12988002827922185,0
11.35170248,1,1,1,1,0,3,0.13630500768666728,0
11.38092448,1,1,1,1,0,3,0.13733076366639432,0
5.865573681,1,1,1,1,0,0,0.056270087143499764,0
7.205057796,1,1,1,1,0,0,0.009251271158602319,0
10.53682686,1,1,1,1,0,3,0.10770109488299866,0
11.98831768,1,1,1,1,0,3,0.15865159067842502,0
12.15293197,1,1,1,1,0,3,0.16442991154339065,0
13.19668864,1,1,1,-1,0,4,0.20106804875619314,0
14.02054389,1,1,1,-1,0,4,0.22998716617173767,0
9.489269034,1,1,1,1,0,3,0.07092952879822041,0
8.920362726,1,1,1,1,0,0,0.05095967569660349,0
8.01022556,1,1,1,1,0,0,0.019011874711169593,0
7.722506994,1,1,1,1,0,0,0.008912325072096347,0
5.573897738,1,1,1,1,0,0,0.06650854935261556,0
4.292820125,1,1,1,1,0,0,0.11147716963970172,0
2.000428888,1,1,1,1,0,0,0.19194510541503146,0
0.284307492,1,1,1,1,0,0,0.2521847120088501,0
0.0,1,1,1,1,0,0,0.2621645255055377,0
0.475389009,1,1,1,1,0,0,0.24547733370900512,0
0.557640124,1,1,1,1,0,0,0.24259014005181298,0
1.322148667,1,1,1,1,0,0,0.21575422158166446,0
0.409027319,1,1,1,1,0,0,0.24780677386855252,0
1.489155537,1,1,1,1,0,0,0.2098919159366709,0
4.570590324,1,1,1,1,0,0,0.10172682939556278,0
6.053539306,1,1,1,1,0,0,0.04967208345357825,0
7.457024858,1,1,1,1,0,0,0.0004066773409046628,0
10.78479988,1,1,1,1,0,3,0.11640548910912898,0
11.2847381,1,1,1,1,0,3,0.13395441179269302,0
13.63046951,1,1,1,-1,0,4,0.21629470406020077,0
15.31828219,1,-1,1,-1,0,5,0.27554061293601945,0
13.64569483,1,1,1,-1,0,4,0.21682914602287476,0
13.97807093,1,1,1,-1,0,4,0.22849627257456054,0
