Test Size,Method,MAE,MSE,RMSE,R2
0.2,NoCV NoTuning,5.485736272690986,592.5255835691322,24.34184840083292,0.37799188332544664
0.2,XGB.CV NoTuning,4.872048333917919,352.87240067429093,18.784898207717042,0.5650099323285083
0.25,NoCV NoTuning,4.81081198864535,462.9434896939557,21.51612162295881,0.402952631140416
0.25,XGB.CV NoTuning,4.872048333917919,352.87240067429093,18.784898207717042,0.5650099323285083
0.3,NoCV NoTuning,5.328809079208288,485.5012221642161,22.03409227003046,0.318316800070256
0.3,XGB.CV NoTuning,4.872048333917919,352.87240067429093,18.784898207717042,0.5650099323285083
0.35,NoCV NoTuning,5.653296980771355,632.5448987120085,25.150445298483454,0.45384970333934405
0.35,XGB.CV NoTuning,4.872048333917919,352.87240067429093,18.784898207717042,0.5650099323285083
