test_size,mse,rmse,mae,r2,auc
0.2,6.4465108245330445,2.538997996165622,1.7230130150604073,0.6436072514387197,0.8751803751803753
0.25,6.8703497053095575,2.62113519401605,1.8153531356167323,0.607466559430857,0.8718694096601074
0.3,6.444760713799277,2.5386533268249285,1.7454914015029237,0.614602712385986,0.8611237488626025
0.35,6.976570707525591,2.6413198798187225,1.8185957799326642,0.5690857817231034,0.847967640094712
