Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Random Search),"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 1.0, 'colsample_bytree': 0.6}",2024-06-09 01:32:40,2024-06-09 01:32:56,15.706117630004883,7.189771494112122,584.890335045982,24.184506094728956,0.3860070419716263
0.2,xgb.cv (Random Search),"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 1.0, 'colsample_bytree': 0.6}",2024-06-09 01:32:40,2024-06-09 01:32:56,15.706117630004883,5.8690390259724845,408.3867741078049,20.208581694611944,0.49657669410857164
0.25,No Cross Validation (Random Search),"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-09 01:32:56,2024-06-09 01:33:07,11.133596658706665,5.13697480984738,208.49277188561803,14.439278786892995,0.7311117584506018
0.25,xgb.cv (Random Search),"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-09 01:32:56,2024-06-09 01:33:07,11.133596658706665,5.102685883644546,323.799947318514,17.994442123014373,0.6008478965003746
0.3,No Cross Validation (Random Search),"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-09 01:33:08,2024-06-09 01:33:18,10.42302680015564,5.387171054778495,236.67853536689705,15.384360089613642,0.6676840881586497
0.3,xgb.cv (Random Search),"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-09 01:33:08,2024-06-09 01:33:18,10.42302680015564,5.102685883644546,323.799947318514,17.994442123014373,0.6008478965003746
0.35,No Cross Validation (Random Search),"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.5}",2024-06-09 01:33:19,2024-06-09 01:33:29,10.858232021331787,4.885544656777044,494.22122918060825,22.23108699952857,0.5732807718747017
0.35,xgb.cv (Random Search),"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.5}",2024-06-09 01:33:19,2024-06-09 01:33:29,10.858232021331787,4.8004201474152,336.7306359553849,18.350221686818525,0.5849080805373144
