test_size,mse,rmse,mae,r2
0.2,3.954817984615661,1.98867241762329,1.436238124181852,0.7690238224966232
0.25,4.469760252167541,2.11418075200952,1.5245621796005957,0.740618412671332
0.3,4.262136393958576,2.064494222311745,1.4878054080406296,0.7435392983181861
0.35,4.292691099464643,2.0718810534064556,1.510983545989673,0.7423103587524713
