,Inliers,Outliers,Total
if_outlier,2021,225,2246
lof_outlier,2072,174,2246
ocsvm_outlier,2022,224,2246
elliptic_outlier,2021,225,2246
hbos_outlier,2197,49,2246
dbscan_outlier,2157,89,2246
mahalanobis_outlier,2021,225,2246
cblof_outlier,2021,225,2246
zscore_outlier,2214,32,2246
optics_outlier,1734,512,2246
iqr_outlier,1995,251,2246
average_voting,2101,145,2246
weighted_voting,2101,145,2246
majority_voting,2101,145,2246
hard_voting,2101,145,2246
