Test Size,Method,MAE,MSE,RMSE,R2
0.2,NoCV NoTuning,6.5799416958403025,624.4128803039774,24.988254847107218,0.34451795757795256
0.2,XGB.CV NoTuning,6.419516427282827,478.85160168942207,21.88267811967772,0.4097138506002189
0.25,NoCV NoTuning,6.154404871678723,499.1218428148847,22.3410349539784,0.35629425701617234
0.25,XGB.CV NoTuning,6.419516427282827,478.85160168942207,21.88267811967772,0.4097138506002189
0.3,NoCV NoTuning,6.1075193564638015,469.6084777785326,21.67045172068484,0.3406315056856287
0.3,XGB.CV NoTuning,6.419516427282827,478.85160168942207,21.88267811967772,0.4097138506002189
0.35,NoCV NoTuning,6.298582486726871,641.4577325236764,25.32701586298071,0.44615420719315535
0.35,XGB.CV NoTuning,6.419516427282827,478.85160168942207,21.88267811967772,0.4097138506002189
