Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 4, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-04 19:25:36,2024-06-04 19:25:51,14.33338737487793,1.6506703409282801,6.0914174655759945,2.468079712160042,0.6632384444420647
0.25,No Cross Validation (Random Search),"{'subsample': 0.6, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-04 19:25:53,2024-06-04 19:26:08,14.430002212524414,1.7421576934015408,6.159490850359693,2.48183215596053,0.6480810672887127
0.3,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-04 19:26:10,2024-06-04 19:26:23,12.834437847137451,1.6994478571870415,6.260886784343246,2.502176409516972,0.6255983903982902
0.35,No Cross Validation (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-04 19:26:25,2024-06-04 19:26:37,12.611942768096924,1.7273284112087397,6.511511136140198,2.551766277726116,0.5978106080105448
0.2,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 4, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-04 19:25:36,2024-06-04 19:25:51,14.33338737487793,1.6756658978479693,5.880531406908679,2.4249807023786145,0.6634657600554701
0.25,xgb.cv (Random Search),"{'subsample': 0.6, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",2024-06-04 19:25:53,2024-06-04 19:26:08,14.430002212524414,1.7324410867201316,6.160994117625994,2.482134991821757,0.6474152879717487
0.3,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-04 19:26:10,2024-06-04 19:26:23,12.834437847137451,1.6973738345685205,6.004953709869282,2.4505007059515984,0.6563452530363593
0.35,xgb.cv (Random Search),"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",2024-06-04 19:26:25,2024-06-04 19:26:37,12.611942768096924,1.6973738345685205,6.004953709869282,2.4505007059515984,0.6563452530363593
