Test Size,MAE,MSE,RMSE,R2,y_test,y_pred
0.2,1.6573161349330874,5.85668064122337,2.4200579830292024,0.6762157750161799,"1351    13.524900
733      4.651380
678     -0.327909
1460     0.790000
411      1.887695
          ...    
772     13.999964
593     -0.578118
1674     4.820000
881      1.565184
2027     2.870000
Name: N2O, Length: 415, dtype: float64","[ 7.3608956e+00  4.3190894e+00  3.1715531e+00  1.0144742e+00
  1.6054184e+00  3.4227686e+00  1.9004372e+01  2.2408838e+00
  2.1288190e+00  2.0496173e+00  8.4849329e+00  2.0392418e+00
  3.2191093e+00  3.3826036e+00  1.0883428e+01  2.6153874e+00
  1.7251573e+00  4.8313742e+00  1.9236059e+00  5.1212907e+00
  2.0766361e+00  2.0256285e+01  4.0763912e+00  2.0228498e+00
  3.0364244e+00  2.5088110e+00  2.2549033e+00  1.4319785e+00
  2.0595138e+00  8.1932336e-01 -1.5691154e+00 -3.4283567e-04
  5.7573338e+00  5.7935863e+00  5.7735336e-01  4.1739454e+00
  2.8233364e+00  1.1877551e+00  1.8327384e+00  2.8898942e+00
  7.6920037e+00  8.2694674e+00  8.5969849e+00  1.4089104e+00
  7.3157310e+00  3.6798050e+00  2.8942907e+00  1.3521558e+00
  2.1956079e+00  1.7590292e+00  5.4414362e-01  7.3193750e+00
  1.9086577e+00  5.4367332e+00  8.0755681e-01  2.1955192e+00
  5.7001883e-01  1.6189842e+00  4.9988375e+00  5.4166746e+00
  3.5750863e-01  7.5402131e+00  1.5473309e+00  5.8883352e+00
  7.1100336e-01  5.6899567e+00  1.1560870e+00  9.1421862e+00
  7.9039931e-01  2.0184059e+00  1.6225460e+01  1.7326925e+01
  1.7850599e+00  7.1504893e+00  1.8254927e+00  3.1154400e-01
  4.8343759e+00  6.1971641e-01  3.5908446e+00  2.3383434e+00
  1.7700181e+00  1.2399185e+00  1.4311255e+00  1.1349183e+00
  2.2212136e+00  1.3655639e+00  1.9605711e+00  3.2474846e-01
  3.5344615e+00  4.1277857e+00  3.1465285e+00  9.5565009e-01
  5.2624974e+00  3.0078256e+00  8.2895460e+00  2.1637733e+00
  2.1475668e+00  2.0757945e+00  3.5361242e+00  1.9222115e+00
  1.9916456e+01  2.7852426e+00  6.0327703e-01  6.5880423e+00
  6.6007652e+00  2.0707324e+00  1.6318257e+00  4.5129046e+00
  3.5801246e+00  5.3784366e+00  9.2676699e-01  1.7259134e+00
  4.2500028e-01  3.7439182e+00  1.5721049e+00  2.5113790e+00
  1.9404940e-01  2.5200546e-01  5.0449700e+00  4.0802665e+00
  1.2606738e+00  2.0505285e+00  3.6093369e-01  3.3236852e+00
  1.7906146e+00  9.1586342e+00  2.3175402e+00  1.4407434e+00
  1.2452303e+00  1.5045263e+00  4.6386461e+00  2.8678026e+00
  1.0670961e+00  3.5732846e+00  3.7348156e+00  3.6786892e+00
  9.9234229e-01  9.3841696e+00  1.2462599e+00  1.9851244e+01
  3.2897425e+00  2.5338802e+00  1.9056501e+00 -9.7285551e-01
  1.9841396e+00  1.1414113e+00  6.2526226e-01  2.5687936e-01
  2.3399506e+00  6.7306943e+00  1.2099090e+00  6.0111946e-01
 -1.2909073e+00  2.3547316e+00  5.8379951e+00  6.5055770e-01
  1.8491318e+00  1.7096208e+00  2.2503068e+00  3.8151822e+00
  1.3161557e+00  5.6157060e+00  6.9359913e+00  2.6319497e+00
  3.6523538e+00  4.5413584e-01  1.0954108e+00  1.6994206e+00
  7.7116432e+00  1.6741661e+01  9.4519652e-02  8.5467052e+00
  1.9354964e+00  1.0474188e+00  4.0388145e+00  7.7310634e-01
  2.0552266e+00  3.3118577e+00  3.8304634e+00 -5.5615312e-01
  2.5768747e+00  1.4531822e+00  1.3817250e+00  1.5751479e+00
 -2.1158454e-01  1.6578482e+00  4.3684726e+00  4.1317754e+00
 -2.5257039e-01  8.2574457e-01  5.0366211e+00  4.5042777e+00
  2.5459969e+00  2.2463894e+00  4.7111158e+00  7.6339000e-01
  1.4055260e+00  6.8650514e-01  1.9417015e+01  1.0540926e+00
  1.9269056e+00 -1.7142556e+00  1.5111448e-01  2.0096054e+00
  1.6130576e+00  9.2355841e-01  2.3963845e+00  4.4887204e+00
  4.8665094e+00  1.5434064e+00  2.8509278e+00  9.9085993e-01
  1.6969789e+00  1.3818079e+00  4.5348434e+00  2.2446840e+00
  1.1673099e+00  3.7277024e+00  3.5039060e+00  4.2538390e+00
  8.9717066e-01  2.9214489e+00  1.7726278e+00  6.1417538e-01
  1.5980909e+00  4.9823027e+00  4.0780306e+00  6.2992330e+00
  1.5623105e+00  1.1764492e+00  4.5997648e+00  7.5718653e-01
  3.2730877e+00  1.0985681e+00  8.8728199e+00  5.8027573e+00
  1.4888291e+00  3.4300554e+00  4.7475619e+00  1.0035189e+01
  6.5867352e+00  7.5053487e+00  3.8332300e+00  2.3328602e-01
  3.6524141e+00  3.7234321e+00  5.9162110e-02  1.7064548e+00
  6.1933107e+00  6.8346429e+00  1.0914741e+00  4.0100079e+00
  5.3492241e+00  2.4441254e+00  1.6715741e+00  5.7990613e+00
  2.2300539e+00  8.1512672e-01  4.5477204e+00  2.7541244e+00
  2.7991366e+00  9.5439768e-01  1.7244691e+00  1.4447479e-01
  2.6832917e+00  5.0191164e-01  1.4266038e+00  8.8055968e-01
  3.1753492e+00  3.2566340e+00  3.8708537e+00  6.2536246e-01
  2.0347300e+00  4.3965364e+00  8.5491431e-01  3.0122490e+00
  1.0616714e+01  2.9118733e+00 -6.3157851e-01  4.6374559e+00
  1.6142486e+00  7.8427539e+00  6.3949454e-01  6.1007271e+00
  4.7179885e+00  2.7060981e+00  3.1756518e+00  5.3265877e+00
  2.0520117e+00  1.6575660e+00  2.8870816e+00  3.3195026e+00
  1.3377386e+00  3.8091829e+00  5.4290566e+00  1.1152214e+01
  6.2275133e+00  2.0966688e-02  3.4827085e+00  4.8280840e+00
  8.9027637e-01  5.2857199e+00  2.1556108e-01  3.9872229e-01
  1.4371649e+00  1.6762639e+00  5.4158986e-01  2.2186322e+00
  5.8727235e-01  1.5662345e+00  6.5148444e+00  2.0293586e+00
  1.8264365e+00  1.2441247e-01  3.1371903e+00  2.4648087e+00
  9.9429637e-01  1.6084621e+00  1.2345691e+00  1.2615931e+00
  3.0611081e+00  2.6167581e+00  5.2506485e+00 -3.3100164e-01
  1.2827902e+00  8.4977752e-01  7.6675200e-01  2.7138569e+00
  2.4771783e+00  1.5306208e+00  7.4955022e-01  1.0965245e+00
 -9.0009667e-02  1.9936416e+00  8.2605648e+00 -5.7019848e-01
  8.8672094e+00  8.6762285e-01  3.8561902e+00  1.6622335e+00
  2.3848825e+00  1.7296213e+01  5.5184517e+00  6.2129383e+00
  1.1224896e+00 -5.8681864e-02  1.0176280e-01 -1.6481560e+00
  3.4955368e+00  1.1945568e+00  1.3204137e-02  1.8174191e+01
  1.3216226e+00  8.2822037e+00  1.0296730e+00  1.8786334e+00
  1.9143765e+00  1.7400863e+00  1.6898844e+00  3.4966662e+00
  7.7061993e-01  2.3325922e+00  2.5320923e+00  1.7919046e+00
  6.1273539e-01  2.7812126e+00  1.0413730e+00  1.3171116e-01
  3.2861357e+00  4.7023997e+00  8.4338915e-01  5.5557775e+00
  2.1244888e+00  4.1492348e+00  1.8205393e+01  1.1748508e+00
  2.4074106e+00  3.7830415e+00  3.0540595e+00  2.5916827e+00
  8.1987488e-01  2.4855163e+00  9.8574591e+00  1.9067637e+00
  3.9520121e-01  5.5120077e+00  2.2349298e+00  2.7902513e+00
  5.8960706e-01  4.0265965e+00  6.2216311e+00  2.3574131e+00
  3.0496483e+00  4.4134355e-01  9.8614864e+00  2.4994607e+00
  5.4367332e+00 -1.5580959e+00 -9.4480664e-02  4.3842289e-01
  9.8289335e-01  1.4051585e+00  2.1687286e+00  8.4377527e-01
  3.2174857e+00  8.1180304e-01  6.0820832e+00  6.4212170e+00
  2.1088348e+01  2.7261034e-01  9.3760481e+00  3.6481595e-01
  1.4567871e+00  4.8068371e+00  2.0240309e+00]"
0.25,1.788541977316919,6.574954317451781,2.5641673731353385,0.6243438033700497,"1351    13.524900
733      4.651380
678     -0.327909
1460     0.790000
411      1.887695
          ...    
1047     1.119400
343      2.346712
398      0.613138
1506     0.530000
292      1.118848
Name: N2O, Length: 518, dtype: float64","[ 5.3664365   3.5903037   2.8386662   1.4862108   1.188392    4.8699064
 19.580599    2.2478993   2.110346    1.870887    7.947948    2.462471
  2.7553322   3.0893617   9.378135    1.7935846   1.6644086   3.645454
  2.3513577   5.796468    2.4146447  18.690256    3.8538709   1.7847418
  3.2845573   2.4037414   1.8547381   1.3308486   1.5484761   0.13870631
 -1.2440401  -0.88809216  5.6369476   6.13684     0.9532782   3.498493
  4.349439    1.755047    2.2879717   2.8754866   8.257795    7.0662994
  6.113003    2.1566365   6.0782304   3.816704    2.924265    1.7366848
  1.5641742   1.349938    0.0829654   6.448312    2.4805112   4.841805
  0.55712396  1.2428617   0.8944453   1.6144166   5.39521     5.062784
  0.13885465  7.2078223   1.425122    6.408577    0.5861667   5.4429145
  1.8092749   8.361335    1.8361913   1.207066   16.238882   17.538567
  1.740277    6.063116    1.8263019   0.9209739   5.007353    1.1540582
  2.5760148   2.1116245   1.2705768   1.8463354   1.1334579   1.5519593
  2.8586714   1.6355923   1.8276821  -0.09355223  2.9550207   3.0826294
  2.0182192   1.4170812   3.913791    3.700397    9.046637    1.975953
  1.337547    2.2612834   4.506338    3.616264   16.841188    2.4874558
  0.6698211   5.8021374   5.7407475   1.4008723   1.7935524   4.12451
  3.0861824   7.0377607   1.3520039   0.9007989   0.361441    4.2742925
  1.9271122   0.32762823  1.1049474   0.14812784  5.788507    3.6129987
  2.1468267   1.8585395   0.3080309   2.5787296   2.319482    8.876989
  2.2793703   0.80338633  1.4662254   1.9311787   5.723471    2.6527894
  1.2728999   2.9782436   3.903404    3.8271255   1.455376    9.497366
  2.208019   18.947151    3.0214534   2.283232    1.3286018  -1.151172
  1.2846307   2.008663    1.1299015   1.1275187   2.5720856   6.221172
  1.6094406   1.5559543  -1.3818823   2.334424    6.5220833   0.9386315
  1.5722463   1.553781    2.096604    3.2142212   1.8129758   4.667415
  4.563538    1.6751478   4.085849    0.7361573   1.5029023   1.0562161
  6.781277   18.107763    0.47020936  7.519719    1.6243519   1.2676514
  5.4493923   1.0717204   2.1878014   2.9908192   3.1907816  -0.26560798
  2.2980928   1.7865182   1.4294866   2.3044446   0.02583273  1.4172359
  4.9808326   5.6662335   0.7435017   0.45158702  4.627111    3.8883445
  0.96258175  1.7229735   5.3547006   0.9422286   1.1317209   1.342489
 20.326498    1.370368    1.9818342  -1.0552503   0.74751216  2.4879029
  1.7561616   1.4600298   2.7794123   4.347749    4.913956    2.4092953
  2.558569    1.0073706   1.5327084   1.9501868   4.502359    1.5937487
  1.7782681   5.279092    3.9789805   4.1058044   0.7953222   3.24313
  1.8870494  -0.36453584  1.962085    5.616858    4.5444393   5.176465
  2.0473926   2.4402459   3.8881972   1.726126    2.8543172   0.78407
  8.139814    6.282393    2.3449192   3.2791936   5.903054    9.450179
  7.3310738   7.4043965   4.2353206   1.7470713   4.0768275   4.8576035
  0.37648427  1.4855127   5.7894073   5.674873    1.3493532   3.77852
  5.265325    2.641193    1.8713766   5.1123443   3.1963649   1.6889946
  4.1746335   2.7025242   2.498177    1.3091074   2.047056    0.4443211
  2.6669962   0.7958887   0.72991395  1.2233574   1.9045078   5.9490976
  3.0759768   1.0934515   2.6279685   4.7180142   0.82585615  2.8529644
  9.69735     4.6290913  -0.8924649   4.470152    0.95301247  6.7089458
  0.23762539  6.792978    4.139352    2.6543388   1.3941565   5.6967
  1.6828747   1.173212    3.576749    4.6205597   1.0438522   3.3023446
  4.53859    11.867232    6.751443    1.5189762   3.6186085   6.0546184
  1.0045193   4.476151    0.16479483  0.48394814  1.533877    1.8343306
  0.59225744  2.343582    1.2044964   1.2056322   6.2915487   1.7888417
  1.6482809  -0.14843458  3.1661725   2.0933895   0.67485285  1.3203138
  2.0480125   1.1861087   3.2721431   2.8138692   6.318795   -0.36701253
  1.815583    0.93722045  0.62001294  2.0436342   1.9025697   1.6764472
  2.0260615   2.113808    0.32081658  2.1369474   8.231028   -0.8861818
  8.012152    1.4944772   2.1962647   2.6259565   3.8511128  16.99424
  2.9812312   6.3797445   0.75937426  0.03716263  0.11072874 -1.9623698
  4.1940246   1.465427    0.24683854 16.477608    1.3738636   6.991722
  1.357598    1.2639698   1.6892399   1.4510512   2.1518257   4.330643
  0.706865    3.1956136   1.8825967   2.2259521   0.60124105  2.6591325
  1.353886    0.73692805  5.7659855   6.5222454   0.8995794   4.586037
  1.4725024   3.0272248  17.64241     1.027878    1.973083    5.18152
  2.6338701   2.4813893   1.53778     1.9857424   8.600258    1.8126045
  0.41650122  7.0593467   1.727396    2.9659889   1.8087384   2.554565
  5.9678984   1.6573939   2.708879    0.62230545  8.8074875   1.4096512
  4.9277215   0.07308065  0.9331926   1.3349992   1.4578613   0.82072127
  2.352845    0.82613385  3.548939   -1.4654977   5.3470674   6.0928297
 19.484371    0.38263312  8.362475    0.21126285  2.0255306   4.325869
  1.7152041   2.368358    1.5474806   6.278153    0.30549988  2.198316
  0.6035036   2.0786107   1.8939811   2.4751744   1.4819857   0.7771862
  2.248052    1.5397178   2.6813705   0.30630526  1.7368447   7.048728
  3.0933726   1.212398    0.88747126  2.3879485   1.1892893   2.3097336
  5.719777    2.5629277   1.2531239   2.8717158   1.3495365   6.7926807
  5.342683    7.948394    6.679713    4.977053    1.3201704   5.3186173
  1.5157067   1.2161505   1.799145    0.897864    0.6927227   2.7078876
  0.41696844  1.7484665   3.7953072   6.2178264   2.7230859   3.403919
  1.1016544   3.0008876   2.2235756   7.3992586   3.3889453   2.26766
 10.184801    1.5685863   7.0019097   0.98590195  2.1941376   3.1641068
  1.2119685   1.9717011   3.7146776  16.542295    3.1727817   4.927723
  2.2535398   5.387522   -0.8559665   1.4701215   1.6132667   6.368534
  1.9290235   2.0309567   4.3293953   3.41667     6.200347    1.7165803
  3.5442154   2.8441758   1.1322453   3.0606399  -0.31739897  9.028715
  1.2085491   1.5652599   2.1856558   2.1250901   6.0166883   5.3238087
  1.2995154  -1.6234144   4.6439075  -1.0125902   0.6211131   1.1007605
  1.9804778   3.180502    2.3714528   2.192798    2.3730667   0.9618212
  1.098812    1.304856  ]"
0.3,1.6568410169971148,5.911548454117512,2.43136760982734,0.6464888549023227,"1351    13.524900
733      4.651380
678     -0.327909
1460     0.790000
411      1.887695
          ...    
1023    19.231500
1161     1.069860
1358     8.803800
1220     3.428560
1844     2.500000
Name: N2O, Length: 622, dtype: float64","[ 6.28526688e+00  3.81292224e+00  2.98318362e+00  1.31570244e+00
  8.09947729e-01  3.45649457e+00  1.94950981e+01  2.07621551e+00
  2.05808830e+00  1.86145425e+00  8.21757698e+00  2.93062401e+00
  3.63500094e+00  2.49708104e+00  1.02292690e+01  3.00057364e+00
  1.79037786e+00  4.23695707e+00  1.80856121e+00  4.88044548e+00
  1.62625837e+00  1.88595371e+01  3.64766836e+00  2.41016984e+00
  3.57757616e+00  2.41875577e+00  1.70186210e+00  1.38390517e+00
  2.05204177e+00  6.33844256e-01 -1.79918015e+00 -1.29361644e-01
  7.11036777e+00  6.54366732e+00  5.47846556e-01  4.90532112e+00
  1.32774508e+00  1.19365799e+00  1.48429060e+00  3.02256870e+00
  8.65814590e+00  7.08518362e+00  7.03915453e+00  4.98924553e-01
  5.22474051e+00  3.47120810e+00  2.67880750e+00  1.19892919e+00
  1.89125192e+00  2.02477169e+00  6.80529296e-01  6.69211817e+00
  2.42898726e+00  4.87029171e+00  7.33323574e-01  1.82407486e+00
  7.06543326e-01  1.98407125e+00  5.65931797e+00  5.93738985e+00
  6.45620227e-01  8.78629398e+00  1.74874771e+00  5.69992399e+00
  5.91778874e-01  5.80722666e+00  1.83930922e+00  8.98765659e+00
  1.62208021e+00  2.47510123e+00  1.64528618e+01  1.72264729e+01
  1.76018560e+00  7.66699266e+00  1.81320262e+00  4.46538687e-01
  5.26882124e+00  8.04681420e-01  2.70092368e+00  2.42360687e+00
  1.58570826e+00  8.97017598e-01  1.97012115e+00  1.71290469e+00
  2.73303914e+00  1.86827588e+00  2.02858353e+00  1.65427089e-01
  3.58893609e+00  3.97171569e+00  1.31070626e+00  1.24973011e+00
  5.07448864e+00  3.24777102e+00  8.87530804e+00  1.30615485e+00
  1.12683713e+00  1.81739163e+00  3.24381614e+00  1.89086914e+00
  1.85183353e+01  2.22826481e+00  7.16254413e-01  9.20936394e+00
  5.95272875e+00  1.38965726e+00  1.88098693e+00  4.12119913e+00
  3.65902829e+00  6.00160933e+00  9.28837657e-01  1.95701241e+00
  1.09868325e-01  3.02759957e+00  1.61176765e+00  2.47161150e+00
  5.08155167e-01  2.38930330e-01  5.47399950e+00  1.97568011e+00
  1.91624749e+00  2.15805531e+00  2.99124539e-01  1.78755105e+00
  1.73562980e+00  8.00488472e+00  3.35851550e+00  1.80532193e+00
  1.07894349e+00  1.47733259e+00  3.96586823e+00  3.82328820e+00
  1.19992280e+00  3.08946586e+00  3.25458860e+00  4.03951979e+00
  9.30081785e-01  9.19312477e+00  2.14565873e+00  1.93351498e+01
  3.76579809e+00  1.67087376e+00  1.46133447e+00 -4.96065706e-01
  1.54851770e+00  1.34846497e+00  6.49561644e-01  1.83106065e+00
  2.32039237e+00  6.67975616e+00  1.79217219e+00  1.34563661e+00
 -1.05364048e+00  2.19785070e+00  4.38394928e+00  8.45578432e-01
  1.43170285e+00  1.54912794e+00  1.86799884e+00  4.22376490e+00
  7.10057557e-01  6.15722418e+00  5.21574068e+00  2.99698091e+00
  4.28940773e+00  5.20706832e-01  8.72081459e-01  1.87128794e+00
  7.08358192e+00  1.60542259e+01  7.67502785e-01  7.61355877e+00
  1.06339765e+00  6.50831580e-01  3.20368838e+00  6.86054409e-01
  1.98814893e+00  2.37197256e+00  3.19687796e+00 -3.12521398e-01
  2.00408959e+00  1.41650224e+00  9.73606884e-01  1.37069428e+00
 -2.84042880e-02  2.11754370e+00  4.35494184e+00  3.47103024e+00
  8.20885777e-01  6.37852311e-01  5.22873068e+00  4.05622625e+00
  1.46553195e+00  1.99302661e+00  4.66189146e+00  6.24952078e-01
  1.33146143e+00  1.08410656e+00  2.00513706e+01  1.16941750e+00
  2.05000067e+00 -1.25612259e+00  4.68389779e-01  2.95258522e+00
  1.82225454e+00  1.11622870e+00  3.81281853e+00  4.34769821e+00
  3.29329157e+00  2.44389129e+00  2.33944893e+00  5.35362601e-01
  2.06590748e+00  1.58246648e+00  4.65671444e+00  1.15016234e+00
  9.98048484e-01  4.63288260e+00  3.44779444e+00  3.59654832e+00
  7.96970904e-01  4.59323120e+00  2.16567945e+00  2.16821253e-01
  1.38589489e+00  5.78783894e+00  4.48582792e+00  5.83599806e+00
  2.50538135e+00  8.67404580e-01  5.61441994e+00  1.20730245e+00
  1.88659000e+00  1.50242841e+00  8.70627117e+00  6.18081379e+00
  1.95732343e+00  2.68265390e+00  6.05131006e+00  8.77374554e+00
  6.96278858e+00  7.29034519e+00  4.37674999e+00  1.73164189e+00
  4.56331062e+00  4.49601460e+00  9.84724760e-01  1.65360391e+00
  7.10238791e+00  6.91755724e+00  1.38170230e+00  4.22007561e+00
  4.99195814e+00  2.64448667e+00  1.57086694e+00  6.31178474e+00
  1.83777761e+00  2.36200547e+00  4.34221506e+00  3.38237095e+00
  3.20356297e+00  5.14400005e-01  2.20792246e+00  4.23637539e-01
  3.54851890e+00  3.15572172e-01  5.14337480e-01  1.69567215e+00
  2.14035034e+00  4.57513905e+00  2.44510770e+00  1.24042511e+00
  2.69915891e+00  4.90407515e+00  1.28757799e+00  1.75532937e+00
  1.05393887e+01  3.56429195e+00 -1.13494980e+00  4.79450417e+00
  8.38244498e-01  6.72830868e+00  4.80032712e-01  8.41926479e+00
  3.82404470e+00  2.92430377e+00  2.29015088e+00  7.22075653e+00
  1.29779518e+00  1.85279977e+00  2.74375916e+00  4.42977905e+00
  2.00202584e+00  3.74007845e+00  4.01901627e+00  1.15333805e+01
  6.78423452e+00  7.93082654e-01  3.18542647e+00  5.81919861e+00
  8.91169965e-01  2.17492723e+00  2.57282913e-01  9.97548342e-01
  1.73210132e+00  1.43295205e+00  4.60255384e-01  1.98942876e+00
  8.77440035e-01  1.05583012e+00  5.75703669e+00  9.77020562e-01
  1.89212871e+00 -5.87253496e-02  3.62174964e+00  2.58616424e+00
  7.34621644e-01  1.89008081e+00  2.16397452e+00  1.33346581e+00
  2.65251017e+00  1.96675682e+00  5.13769436e+00 -5.12886107e-01
  1.60632730e+00  3.75765264e-01  1.11686814e+00  2.61024451e+00
  1.28959918e+00  1.10194516e+00  1.81646740e+00  1.69134331e+00
  1.18727563e-02  1.94593477e+00  9.41110229e+00 -1.08604982e-01
  8.31135941e+00  1.29775584e+00  3.46718931e+00  1.05166900e+00
  1.84462452e+00  1.80040474e+01  3.37071633e+00  7.01130199e+00
  7.94632614e-01  2.63448238e-01  1.40358970e-01 -1.91937745e+00
  3.30650640e+00  9.50665414e-01 -3.79455239e-02  1.71421890e+01
  7.98109770e-01  8.26245022e+00  7.14697123e-01  1.48975372e+00
  9.15324092e-01  1.75950408e+00  1.80265224e+00  4.68096781e+00
  8.21941078e-01  2.68512297e+00  2.63986039e+00  1.90470302e+00
  5.98562002e-01  2.17147017e+00  1.29597318e+00 -5.71910381e-01
  4.22310734e+00  4.83830690e+00  6.16876364e-01  5.75124502e+00
  1.24477792e+00  2.94978428e+00  1.76888199e+01  1.25923598e+00
  2.09151125e+00  4.79703379e+00  3.13674212e+00  2.66845298e+00
  1.73025918e+00  4.60889578e+00  1.00992126e+01  1.67854738e+00
  4.22921240e-01  5.68039703e+00  1.61160755e+00  4.62193012e+00
  1.86962104e+00  3.23300314e+00  6.11585045e+00  2.51344681e+00
  3.63811445e+00  6.43723845e-01  9.95261574e+00  7.70464480e-01
  4.31069422e+00 -4.42611873e-01  1.44284535e-02  1.44697297e+00
  1.89272738e+00  1.17336512e+00  2.66160345e+00  6.36407733e-01
  3.54604888e+00 -9.32680488e-01  5.30337763e+00  7.09487391e+00
  1.92862511e+01  4.31820571e-01  8.23071003e+00  3.67563218e-02
  1.35377049e+00  5.07424641e+00  1.87407565e+00  1.97817791e+00
  1.73688066e+00  5.35234070e+00  8.00696984e-02  1.75720739e+00
  7.14920461e-01  1.37975466e+00  6.62103593e-01  2.42084312e+00
  2.44308686e+00  7.07342207e-01  1.94117737e+00  1.51002634e+00
  2.68371820e+00  2.48937100e-01  2.66853261e+00  7.24731541e+00
  2.86959767e+00  7.96075642e-01  8.95432472e-01  2.39262438e+00
  1.08818924e+00  1.98788428e+00  5.15399647e+00  1.86351979e+00
  5.74214876e-01  3.42996573e+00  8.65848541e-01  7.39982510e+00
  4.29536963e+00  8.80863094e+00  5.88354635e+00  4.55946302e+00
  5.56905985e-01  6.12103748e+00  6.98748648e-01  1.11562073e+00
  1.70978880e+00  9.31656480e-01  2.79250108e-02  1.25504923e+00
  2.29716375e-01  2.04199767e+00  3.52813625e+00  5.25205898e+00
  2.65923548e+00  4.42241430e+00  1.58809781e+00  3.92219591e+00
  2.22148299e+00  4.82634115e+00  3.23147035e+00  1.86331606e+00
  1.33435364e+01  4.90749508e-01  8.25337982e+00  1.60921359e+00
  2.20570254e+00  2.15751839e+00  5.57042003e-01  3.00530553e+00
  2.32080150e+00  1.89949913e+01  2.96652508e+00  4.22972345e+00
  2.11023402e+00  5.77241087e+00 -1.44348323e+00  1.49180937e+00
  2.62572050e+00  6.48660946e+00  1.18998671e+00  1.66427362e+00
  4.61689281e+00  3.21181321e+00  5.83800364e+00  1.17126334e+00
  2.53367019e+00  1.38204539e+00  4.99920487e-01  2.43345666e+00
  3.76583636e-01  7.76738596e+00  9.02399957e-01  1.85691261e+00
  2.00963068e+00  2.58921576e+00  7.84891129e+00  3.56377053e+00
  1.13777673e+00 -1.52869606e+00  4.33319998e+00 -7.84037471e-01
  1.16327107e+00  1.57517481e+00  1.61254835e+00  4.08672285e+00
  2.03037810e+00  4.12157631e+00  1.56388724e+00  7.01366127e-01
  9.40197527e-01  1.07940221e+00  3.34476709e+00  9.81868505e-01
  5.60985136e+00  7.19712853e-01  7.09380102e+00  4.61078739e+00
  1.25587332e+00  2.85783410e+00  3.76901388e+00  2.29497623e+00
 -1.00549914e-01  1.17076838e+00  1.71630585e+00  2.12642097e+00
  3.85254622e+00  3.27905440e+00  1.64794433e+00  5.53156233e+00
 -1.63426054e+00  1.90797985e+00  2.78540993e+00  4.19654465e+00
  3.62905836e+00  9.84292388e-01  1.47189236e+00  1.70352936e+00
  2.39333129e+00  7.36342788e-01 -7.17144847e-01  7.84726143e+00
  1.38759971e+00  2.67959213e+00  1.13058043e+00  4.31896400e+00
  2.94390607e+00 -2.39337754e+00  3.54359770e+00  1.06790662e+00
  5.38939857e+00  1.37708569e+00  6.83440864e-02 -1.36310756e+00
  2.03372073e+00  2.45477605e+00  2.92421103e+00  1.58353233e+00
  2.41511321e+00  2.41863203e+00  9.85648870e-01  4.88736153e+00
  2.28997874e+00  1.01833209e-01  3.37839532e+00  9.27544022e+00
  1.49194813e+00  1.60857546e+00  1.52447248e+00  2.93093371e+00
  3.04325819e+00  1.93223209e+01  2.62369514e+00  7.70098627e-01
  1.51189828e+00  1.56610882e+00  1.19944687e+01  1.40297842e+00
  1.74710941e+00  2.67733550e+00  4.28371906e-01  2.50106764e+00
  2.24355006e+00  6.96416378e-01  8.78958821e-01  5.48953772e+00
  1.06525362e+00  2.27645540e+00  6.49922752e+00  3.96169209e+00
 -5.63050359e-02  2.50498414e+00  5.79496086e-01  4.08152151e+00
  1.57457960e+00  5.60731030e+00  1.74184239e+00  2.40670848e+00
  2.70426488e+00  2.52794099e+00  4.69488096e+00  1.69367209e-01
  2.67620420e+00  5.42500353e+00  2.24991441e+00  1.54442346e+00
  2.92966104e+00  1.58017194e+00  8.00605178e-01  1.58009481e+00
  9.57608223e-01  2.00793629e+01  5.86319327e-01  6.10923910e+00
  3.72334981e+00  3.09270191e+00]"
