Model,Accuracy,Error Rate,Precision,Recall,F1-Score
Isolation Forest,0.9020771513353115,0.09792284866468848,0.5428571428571428,0.2753623188405797,0.36538461538461536
DBSCAN,0.7359050445103857,0.26409495548961426,0.23671497584541062,0.7101449275362319,0.35507246376811596
One-Class SVM,0.8887240356083086,0.1112759643916914,0.4117647058823529,0.2028985507246377,0.27184466019417475
Majority Voting,0.8976261127596439,0.10237388724035612,0.5,0.2898550724637681,0.3669724770642202
Weighted Voting,0.8976261127596439,0.10237388724035612,0.5,0.2898550724637681,0.3669724770642202
