Model,Accuracy,Precision,Recall,F1-Score
Isolation Forest,0.8945362134688691,0.5128205128205128,0.23809523809523808,0.3252032520325203
DBSCAN,0.5832274459974587,0.19035532994923857,0.8928571428571429,0.3138075313807531
One-Class SVM,0.8831003811944091,0.4090909090909091,0.21428571428571427,0.28125
