Model,Accuracy,Precision,Recall,F1-Score
Isolation Forest,0.9035608308605341,0.5714285714285714,0.2318840579710145,0.32989690721649484
DBSCAN,0.5667655786350149,0.17681159420289855,0.8840579710144928,0.2946859903381642
One-Class SVM,0.8887240356083086,0.4117647058823529,0.2028985507246377,0.27184466019417475
